time(cc),altitude,GPS t,lat,lon,request1,request2,grade,errors
78068,211,500203,30.703,36,12,14,0.2,0
78069,211,500204,30.704,36,12,14,0.2,0
78070,211,500205,30.705,36,12,14,0.2,0
78071,211,500206,30.706,36,12,14,0.2,0
78072,211,500207,30.707,36,12,14,0.2,0
78073,211,500208,30.708,36,12,14,0.2,0
78074,211,500209,30.709,36,12,14,0.2,0
78075,211,500210,30.71,36,12,14,0.2,0
78076,211,500211,30.711,36,12,14,0.2,0
78077,211,500212,30.712,36,12,14,0.2,0
78078,211,500213,30.713,36,12,14,0.2,0
78079,211,500214,30.714,36,12,14,0.2,0
78080,211,500215,30.715,36,12,14,0.2,0
78081,211,500216,30.716,36,12,14,0.2,0
78082,211,500217,30.717,36,12,14,0.2,0
78083,211,500218,30.718,36,12,14,0.2,0
78084,211,500219,30.719,36,12,14,0.2,0
78085,211,500220,30.72,36,12,14,0.2,0
78086,211,500221,30.721,36,12,14,0.2,0
78087,211,500222,30.722,36,12,14,0.2,0
78088,211,500223,30.723,36,12,14,0.2,0
78089,211,500224,30.724,36,12,14,0.2,0
78090,211,500225,30.725,36,12,14,0.2,0
78091,211,500226,30.726,36,12,14,0.2,0
78092,211,500227,30.727,36,12,14,0.2,0
78093,211,500228,30.728,36,12,14,0.2,0
78094,211,500229,30.729,36,12,14,0.2,0
78095,211,500230,30.73,36,12,14,0.2,0
78096,211,500231,30.731,36,12,14,0.2,0
78097,211,500232,30.732,36,12,14,0.2,0
78098,211,500233,30.733,36,12,14,0.2,0
78099,211,500234,30.734,36,12,14,0.2,0
78100,211,500235,30.735,36,12,14,0.2,0
78101,211,500236,30.736,36,12,14,0.2,0
78102,211,500237,30.737,36,12,14,0.2,0
78103,211,500238,30.738,36,12,14,0.2,0
78104,211,500239,30.739,36,12,14,0.2,0
78105,211,500240,30.74,36,12,14,0.2,0
78106,211,500241,30.741,36,12,14,0.2,0
78107,211,500242,30.742,36,12,14,0.2,0
78108,211,500243,30.743,36,12,14,0.2,0
78109,211,500244,30.744,36,12,14,0.2,0
78110,211,500245,30.745,36,12,14,0.2,0
78111,211,500246,30.746,36,12,14,0.2,0
78112,211,500247,30.747,36,12,14,0.2,0
78113,211,500248,30.748,36,12,14,0.2,0
78114,211,500249,30.749,36,12,14,0.2,0
78115,211,500250,30.75,36,12,14,0.2,0
78116,211,500251,30.751,36,12,14,0.2,0
78117,211,500252,30.752,36,12,14,0.2,0
78118,211,500253,30.753,36,12,14,0.2,0
78119,211,500254,30.754,36,12,14,0.2,0
78120,211,500255,30.755,36,12,14,0.2,0
78121,211,500256,30.756,36,12,14,0.2,0
78122,211,500257,30.757,36,12,14,0.2,0
78123,211,500258,30.758,36,12,14,0.2,0
78124,211,500259,30.759,36,12,14,0.2,0
78125,211,500260,30.76,36,12,11,0.2,0
78126,211,500261,30.761,36,12,11,0.2,0
78127,211,500262,30.762,36,12,11,0.2,0
78128,211,500263,30.763,36,12,11,0.2,0
78129,211,500264,30.764,36,12,11,0.2,0
78130,211,500265,30.765,36,12,11,0.2,0
78131,211,500266,30.766,36,12,11,0.2,0
78132,211,500267,30.767,36,12,11,0.2,0
78133,211,500268,30.768,36,12,11,0.2,0
78134,211,500269,30.769,36,12,11,0.2,0
78135,211,500270,30.77,36,12,11,0.2,0
78136,211,500271,30.771,36,12,11,0.2,0
78137,211,500272,30.772,36,12,11,0.2,0
78138,211,500273,30.773,36,12,11,0.2,0
78139,211,500274,30.774,36,12,11,0.2,0
78140,211,500275,30.775,36,12,11,0.2,0
78141,211,500276,30.776,36,12,11,0.2,0
78142,211,500277,30.777,36,12,11,0.2,0
78143,211,500278,30.778,36,12,11,0.2,0
78144,211,500279,30.779,36,12,11,0.2,0
78145,211,500280,30.78,36,12,11,0.2,0
78146,211,500281,30.781,36,12,11,0.2,0
78147,211,500282,30.782,36,12,11,0.2,0
78148,211,500283,30.783,36,12,11,0.2,0
78149,211,500284,30.784,36,12,11,0.2,0
78150,211,500285,30.785,36,12,11,0.2,0
78151,211,500286,30.786,36,12,11,0.2,0
78152,211,500287,30.787,36,12,11,0.2,0
78153,211,500288,30.788,36,12,11,0.2,0
78154,211,500289,30.789,36,12,11,0.2,0
78155,211,500290,30.79,36,12,11,0.2,0
78156,211,500291,30.791,36,12,11,0.2,0
78157,211,500292,30.792,36,12,11,0.2,0
78158,211,500293,30.793,36,12,11,0.2,0
78159,211,500294,30.794,36,12,11,0.2,0
78160,211,500295,30.795,36,12,11,0.2,0
78161,211,500296,30.796,36,12,11,0.2,0
78162,211,500297,30.797,36,12,11,0.2,0
78163,211,500298,30.798,36,12,11,0.2,0
78164,211,500299,30.799,36,12,11,0.2,0
78165,211,500300,30.8,36,12,11,0.2,0
78166,211,500301,30.801,36,12,11,0.2,0
78167,211,500302,30.802,36,12,11,0.2,0
78168,211,500303,30.803,36,12,11,0.2,0
78169,211,500304,30.804,36,12,11,0.2,0
78170,211,500305,30.805,36,12,11,0.2,0
78171,211,500306,30.806,36,12,11,0.2,0
78172,211,500307,30.807,36,12,11,0.2,0
78173,211,500308,30.808,36,12,11,0.2,0
78174,211,500309,30.809,36,12,11,0.2,0
78175,211,500310,30.81,36,12,11,0.2,0
78176,211,500311,30.811,36,12,11,0.2,0
78177,211,500312,30.812,36,12,11,0.2,0
78178,211,500313,30.813,36,12,11,0.2,0
78179,211,500314,30.814,36,12,11,0.2,0
78180,211,500315,30.815,36,12,11,0.2,0
78181,211,500316,30.816,36,12,11,0.2,0
78182,211,500317,30.817,36,12,11,0.2,0
78183,211,500318,30.818,36,12,11,0.2,0
78184,211,500319,30.819,36,12,11,0.2,0
78185,211,500320,30.82,36,12,11,0.2,0
78186,211,500321,30.821,36,12,11,0.2,0
78187,211,500322,30.822,36,12,11,0.2,0
78188,211,500323,30.823,36,12,11,0.2,0
78189,211,500324,30.824,36,12,11,0.2,0
78190,211,500325,30.825,36,12,11,0.2,0
78191,211,500326,30.826,36,12,11,0.2,0
78192,211,500327,30.827,36,12,11,0.2,0
78193,211,500328,30.828,36,12,11,0.2,0
78194,211,500329,30.829,36,12,11,0.2,0
78195,211,500330,30.83,36,12,11,0.2,0
78196,211,500331,30.831,36,12,11,0.2,0
78197,211,500332,30.832,36,12,11,0.2,0
78198,211,500333,30.833,36,12,11,0.2,0
78199,211,500334,30.834,36,12,11,0.2,0
78200,211,500335,30.835,36,12,11,0.2,0
78201,211,500336,30.836,36,12,11,0.2,0
78202,211,500337,30.837,36,12,11,0.2,0
78203,211,500338,30.838,36,12,11,0.2,0
78204,211,500339,30.839,36,12,11,0.2,0
78205,211,500340,30.84,36,12,11,0.2,0
78206,211,500341,30.841,36,12,11,0.2,0
78207,211,500342,30.842,36,12,11,0.2,0
78208,211,500343,30.843,36,12,11,0.2,0
78209,211,500344,30.844,36,12,11,0.2,0
78210,211,500345,30.845,36,12,11,0.2,0
78211,211,500346,30.846,36,12,11,0.2,0
78212,211,500347,30.847,36,12,11,0.2,0
78213,211,500348,30.848,36,12,11,0.2,0
78214,211,500349,30.849,36,12,11,0.2,0
78215,211,500350,30.85,36,12,11,0.2,0
78216,211,500351,30.851,36,12,11,0.2,0
78217,211,500352,30.852,36,12,11,0.2,0
78218,211,500353,30.853,36,12,11,0.2,0
78219,211,500354,30.854,36,12,11,0.2,0
78220,211,500355,30.855,36,12,11,0.2,0
78221,211,500356,30.856,36,12,11,0.2,0
78222,211,500357,30.857,36,12,11,0.2,0
78223,211,500358,30.858,36,12,11,0.2,0
78224,211,500359,30.859,36,12,11,0.2,0
78225,211,500360,30.86,36,12,11,0.2,0
78226,211,500361,30.861,36,12,11,0.2,0
78227,211,500362,30.862,36,12,11,0.2,0
78228,211,500363,30.863,36,12,11,0.2,0
78229,211,500364,30.864,36,12,11,0.2,0
78230,211,500365,30.865,36,12,11,0.2,0
78231,211,500366,30.866,36,12,11,0.2,0
78232,211,500367,30.867,36,12,11,0.2,0
78233,211,500368,30.868,36,12,11,0.2,0
78234,211,500369,30.869,36,12,11,0.2,0
78235,211,500370,30.87,36,12,11,0.2,0
78236,211,500371,30.871,36,12,11,0.2,0
78237,211,500372,30.872,36,12,11,0.2,0
78238,211,500373,30.873,36,12,11,0.2,0
78239,211,500374,30.874,36,12,11,0.2,0
78240,211,500375,30.875,36,12,11,0.2,0
78241,211,500376,30.876,36,12,11,0.2,0
78242,211,500377,30.877,36,12,11,0.2,0
78243,211,500378,30.878,36,12,11,0.2,0
78244,211,500379,30.879,36,12,11,0.2,0
78245,211,500380,30.88,36,12,11,0.2,0
78246,211,500381,30.881,36,12,11,0.2,0
78247,211,500382,30.882,36,12,11,0.2,0
78248,211,500383,30.883,36,12,11,0.2,0
78249,211,500384,30.884,36,12,11,0.2,0
78250,211,500385,30.885,36,12,11,0.2,0
78251,211,500386,30.886,36,12,11,0.2,0
78252,211,500387,30.887,36,12,11,0.2,0
78253,211,500388,30.888,36,12,11,0.2,0
78254,211,500389,30.889,36,12,11,0.2,0
78255,211,500390,30.89,36,12,11,0.2,0
78256,211,500391,30.891,36,12,11,0.2,0
78257,211,500392,30.892,36,12,11,0.2,0
78258,211,500393,30.893,36,12,11,0.2,0
78259,211,500394,30.894,36,12,11,0.2,0
78260,211,500395,30.895,36,12,11,0.2,0
78261,211,500396,30.896,36,12,11,0.2,0
78262,211,500397,30.897,36,12,11,0.2,0
78263,211,500398,30.898,36,12,11,0.2,0
78264,211,500399,30.899,36,12,11,0.2,0
78265,211,500400,30.9,36,12,11,0.2,0
78266,211,500401,30.901,36,12,11,0.2,0
78267,211,500402,30.902,36,12,11,0.2,0
78268,211,500403,30.903,36,12,11,0.2,0
78269,211,500404,30.904,36,12,11,0.2,0
78270,211,500405,30.905,36,12,11,0.2,0
78271,211,500406,30.906,36,12,11,0.2,0
78272,211,500407,30.907,36,12,11,0.2,0
78273,211,500408,30.908,36,12,11,0.2,0
78274,211,500409,30.909,36,12,11,0.2,0
78275,211,500410,30.91,36,12,11,0.2,0
78276,211,500411,30.911,36,12,11,0.2,0
78277,211,500412,30.912,36,12,11,0.2,0
78278,211,500413,30.913,36,12,11,0.2,0
78279,211,500414,30.914,36,12,11,0.2,0
78280,211,500415,30.915,36,12,11,0.2,0
78281,211,500416,30.916,36,12,11,0.2,0
78282,211,500417,30.917,36,12,11,0.2,0
78283,211,500418,30.918,36,12,11,0.2,0
78284,211,500419,30.919,36,12,11,0.2,0
78285,211,500420,30.92,36,12,11,0.2,0
78286,211,500421,30.921,36,12,11,0.2,0
78287,211,500422,30.922,36,12,11,0.2,0
78288,211,500423,30.923,36,12,11,0.2,0
78289,211,500424,30.924,36,12,11,0.2,0
78290,211,500425,30.925,36,12,11,0.2,0
78291,211,500426,30.926,36,12,11,0.2,0
78292,211,500427,30.927,36,12,11,0.2,0
78293,211,500428,30.928,36,12,11,0.2,0
78294,211,500429,30.929,36,12,11,0.2,0
78295,211,500430,30.93,36,12,11,0.2,0
78296,211,500431,30.931,36,12,11,0.2,0
78297,211,500432,30.932,36,12,11,0.2,0
78298,211,500433,30.933,36,12,11,0.2,0
78299,211,500434,30.934,36,12,11,0.2,0
78300,211,500435,30.935,36,12,11,0.2,0
78301,211,500436,30.936,36,12,11,0.2,0
78302,211,500437,30.937,36,12,11,0.2,0
78303,211,500438,30.938,36,12,11,0.2,0
78304,211,500439,30.939,36,12,11,0.2,0
78305,211,500440,30.94,36,12,11,0.2,0
78306,211,500441,30.941,36,12,11,0.2,0
78307,211,500442,30.942,36,12,11,0.2,0
78308,211,500443,30.943,36,12,11,0.2,0
78309,211,500444,30.944,36,12,11,0.2,0
78310,211,500445,30.945,36,12,11,0.2,0
78311,211,500446,30.946,36,12,11,0.2,0
78312,211,500447,30.947,36,12,11,0.2,0
78313,211,500448,30.948,36,12,11,0.2,0
78314,211,500449,30.949,36,12,11,0.2,0
78315,211,500450,30.95,36,12,11,0.2,0
78316,211,500451,30.951,36,12,11,0.2,0
78317,211,500452,30.952,36,12,11,0.2,0
78318,211,500453,30.953,36,12,11,0.2,0
78319,211,500454,30.954,36,12,11,0.2,0
78320,211,500455,30.955,36,12,11,0.2,0
78321,211,500456,30.956,36,12,11,0.2,0
78322,211,500457,30.957,36,12,11,0.2,0
78323,211,500458,30.958,36,12,11,0.2,0
78324,211,500459,30.959,36,12,11,0.2,0
78325,211,500460,30.96,36,12,11,0.2,0
78326,211,500461,30.961,36,12,11,0.2,0
78327,211,500462,30.962,36,12,11,0.2,0
78328,211,500463,30.963,36,12,11,0.2,0
78329,211,500464,30.964,36,12,11,0.2,0
78330,211,500465,30.965,36,12,11,0.2,0
78331,211,500466,30.966,36,12,11,0.2,0
78332,211,500467,30.967,36,12,11,0.2,0
78333,211,500468,30.968,36,12,11,0.2,0
78334,211,500469,30.969,36,12,11,0.2,0
78335,211,500470,30.97,36,12,11,0.2,0
78336,211,500471,30.971,36,12,11,0.2,0
78337,211,500472,30.972,36,12,11,0.2,0
78338,211,500473,30.973,36,12,11,0.2,0
78339,211,500474,30.974,36,12,11,0.2,0
78340,211,500475,30.975,36,12,11,0.2,0
78341,211,500476,30.976,36,12,11,0.2,0
78342,211,500477,30.977,36,12,11,0.2,0
78343,211,500478,30.978,36,12,11,0.2,0
78344,211,500479,30.979,36,12,11,0.2,0
78345,211,500480,30.98,36,12,11,0.2,0
78346,211,500481,30.981,36,12,11,0.2,0
78347,211,500482,30.982,36,12,11,0.2,0
78348,211,500483,30.983,36,12,11,0.2,0
78349,211,500484,30.984,36,12,11,0.2,0
78350,211,500485,30.985,36,12,11,0.2,0
78351,211,500486,30.986,36,12,11,0.2,0
78352,211,500487,30.987,36,12,11,0.2,0
78353,211,500488,30.988,36,12,11,0.2,0
78354,211,500489,30.989,36,12,11,0.2,0
78355,211,500490,30.99,36,12,11,0.2,0
78356,211,500491,30.991,36,12,11,0.2,0
78357,211,500492,30.992,36,12,11,0.2,0
78358,211,500493,30.993,36,12,11,0.2,0
78359,211,500494,30.994,36,12,11,0.2,0
78360,211,500495,30.995,36,12,11,0.2,0
78361,211,500496,30.996,36,12,11,0.2,0
78362,211,500497,30.997,36,12,11,0.2,0
78363,211,500498,30.998,36,12,11,0.2,0
78364,211,500499,30.999,36,12,11,0.2,0
78365,211,500500,31,36,12,11,0.2,0
78366,211,500501,31.001,36,12,11,0.2,0
78367,211,500502,31.002,36,12,11,0.2,0
78368,211,500503,31.003,36,12,11,0.2,0
78369,211,500504,31.004,36,12,11,0.2,0
78370,211,500505,31.005,36,12,11,0.2,0
78371,211,500506,31.006,36,12,11,0.2,0
78372,211,500507,31.007,36,12,11,0.2,0
78373,211,500508,31.008,36,12,11,0.2,0
78374,211,500509,31.009,36,12,11,0.2,0
78375,211,500510,31.01,36,12,11,0.2,0
78376,211,500511,31.011,36,12,11,0.2,0
78377,211,500512,31.012,36,12,11,0.2,0
78378,211,500513,31.013,36,12,11,0.2,0
78379,211,500514,31.014,36,12,11,0.2,0
78380,211,500515,31.015,36,12,11,0.2,0
78381,211,500516,31.016,36,12,11,0.2,0
78382,211,500517,31.017,36,12,11,0.2,0
78383,211,500518,31.018,36,12,11,0.2,0
78384,211,500519,31.019,36,12,11,0.2,0
78385,211,500520,31.02,36,12,11,0.2,0
78386,211,500521,31.021,36,12,11,0.2,0
78387,211,500522,31.022,36,12,11,0.2,0
78388,211,500523,31.023,36,12,11,0.2,0
78389,211,500524,31.024,36,12,11,0.2,0
78390,211,500525,31.025,36,12,11,0.2,0
78391,211,500526,31.026,36,12,11,0.2,0
78392,211,500527,31.027,36,12,11,0.2,0
78393,211,500528,31.028,36,12,11,0.2,0
78394,211,500529,31.029,36,12,11,0.2,0
78395,211,500530,31.03,36,12,11,0.2,0
78396,211,500531,31.031,36,12,11,0.2,0
78397,211,500532,31.032,36,12,11,0.2,0
78398,211,500533,31.033,36,12,11,0.2,0
78399,211,500534,31.034,36,12,11,0.2,0
78400,211,500535,31.035,36,12,11,0.2,0
78401,211,500536,31.036,36,12,11,0.2,0
78402,211,500537,31.037,36,12,11,0.2,0
78403,211,500538,31.038,36,12,11,0.2,0
78404,211,500539,31.039,36,12,11,0.2,0
78405,211,500540,31.04,36,12,11,0.2,0
78406,211,500541,31.041,36,12,11,0.2,0
78407,211,500542,31.042,36,12,11,0.2,0
78408,211,500543,31.043,36,12,11,0.2,0
78409,211,500544,31.044,36,12,11,0.2,0
78410,211,500545,31.045,36,12,11,0.2,0
78411,211,500546,31.046,36,12,11,0.2,0
78412,211,500547,31.047,36,12,11,0.2,0
78413,211,500548,31.048,36,12,11,0.2,0
78414,211,500549,31.049,36,12,11,0.2,0
78415,211,500550,31.05,36,12,11,0.2,0
78416,211,500551,31.051,36,12,11,0.2,0
78417,211,500552,31.052,36,12,11,0.2,0
78418,211,500553,31.053,36,12,11,0.2,0
78419,211,500554,31.054,36,12,11,0.2,0
78420,211,500555,31.055,36,12,11,0.2,0
78421,211,500556,31.056,36,12,11,0.2,0
78422,211,500557,31.057,36,12,11,0.2,0
78423,211,500558,31.058,36,12,11,0.2,0
78424,211,500559,31.059,36,12,11,0.2,0
78425,211,500560,31.06,36,12,11,0.2,0
78426,211,500561,31.061,36,12,11,0.2,0
78427,211,500562,31.062,36,12,11,0.2,0
78428,211,500563,31.063,36,12,11,0.2,0
78429,211,500564,31.064,36,12,11,0.2,0
78430,211,500565,31.065,36,12,11,0.2,0
78431,211,500566,31.066,36,12,11,0.2,0
78432,211,500567,31.067,36,12,11,0.2,0
78433,211,500568,31.068,36,12,11,0.2,0
78434,211,500569,31.069,36,12,11,0.2,0
78435,211,500570,31.07,36,12,11,0.2,0
78436,211,500571,31.071,36,12,11,0.2,0
78437,211,500572,31.072,36,12,11,0.2,0
78438,211,500573,31.073,36,12,11,0.2,0
78439,211,500574,31.074,36,12,11,0.2,0
78440,211,500575,31.075,36,12,11,0.2,0
78441,211,500576,31.076,36,12,11,0.2,0
78442,211,500577,31.077,36,12,11,0.2,0
78443,211,500578,31.078,36,12,11,0.2,0
78444,211,500579,31.079,36,12,11,0.2,0
